x,phi_th
0,0
0.002,2.02848e-23
0.004,4.27031e-23
0.006,6.7479e-23
0.008,9.48607e-23
0.01,1.25122e-22
0.012,1.58566e-22
0.014,1.95528e-22
0.016,2.36376e-22
0.018,2.81521e-22
0.02,3.31414e-22
0.022,3.86553e-22
0.024,4.47493e-22
0.026,5.14841e-22
0.028,5.89272e-22
0.03,6.71531e-22
0.032,7.62441e-22
0.034,8.62913e-22
0.036,9.73951e-22
0.038,1.09667e-21
0.04,1.23229e-21
0.042,1.38217e-21
0.044,1.54782e-21
0.046,1.7309e-21
0.048,1.93322e-21
0.05,2.15682e-21
0.052,2.40394e-21
0.054,2.67705e-21
0.056,2.97889e-21
0.058,3.31246e-21
0.06,3.68112e-21
0.062,4.08855e-21
0.064,4.53884e-21
0.066,5.03647e-21
0.068,5.58645e-21
0.07,6.19427e-21
0.072,6.86601e-21
0.074,7.6084e-21
0.076,8.42887e-21
0.078,9.33562e-21
0.08,1.03377e-20
0.082,1.14453e-20
0.084,1.26693e-20
0.086,1.4022e-20
0.088,1.5517e-20
0.09,1.71692e-20
0.092,1.89952e-20
0.094,2.10132e-20
0.096,2.32434e-20
0.098,2.57083e-20
0.1,2.84323e-20
0.102,3.14428e-20
0.104,3.477e-20
0.106,3.84471e-20
0.108,4.25109e-20
0.11,4.70021e-20
0.112,5.19656e-20
0.114,5.74512e-20
0.116,6.35136e-20
0.118,7.02137e-20
0.12,7.76184e-20
0.122,8.58019e-20
0.124,9.48461e-20
0.126,1.04841e-19
0.128,1.15888e-19
0.13,1.28096e-19
0.132,1.41589e-19
0.134,1.565e-19
0.136,1.72979e-19
0.138,1.91192e-19
0.14,2.1132e-19
0.142,2.33565e-19
0.144,2.5815e-19
0.146,2.8532e-19
0.148,3.15348e-19
0.15,3.48533e-19
0.152,3.85209e-19
0.154,4.25742e-19
0.156,4.70538e-19
0.158,5.20045e-19
0.16,5.74759e-19
0.162,6.35228e-19
0.164,7.02055e-19
0.166,7.75911e-19
0.168,8.57535e-19
0.17,9.47743e-19
0.172,1.04744e-18
0.174,1.15762e-18
0.176,1.27939e-18
0.178,1.41396e-18
0.18,1.56269e-18
0.182,1.72706e-18
0.184,1.90872e-18
0.186,2.10948e-18
0.188,2.33135e-18
0.19,2.57656e-18
0.192,2.84756e-18
0.194,3.14707e-18
0.196,3.47807e-18
0.198,3.84388e-18
0.2,4.24816e-18
0.202,4.69496e-18
0.204,5.18876e-18
0.206,5.73449e-18
0.208,6.33761e-18
0.21,7.00416e-18
0.212,7.74081e-18
0.214,8.55494e-18
0.216,9.45469e-18
0.218,1.04491e-17
0.22,1.1548e-17
0.222,1.27626e-17
0.224,1.41048e-17
0.226,1.55883e-17
0.228,1.72277e-17
0.23,1.90396e-17
0.232,2.1042e-17
0.234,2.32551e-17
0.236,2.57009e-17
0.238,2.84039e-17
0.24,3.13911e-17
0.242,3.46926e-17
0.244,3.83413e-17
0.246,4.23737e-17
0.248,4.68302e-17
0.25,5.17554e-17
0.252,5.71985e-17
0.254,6.32142e-17
0.256,6.98625e-17
0.258,7.721e-17
0.26,8.53303e-17
0.262,9.43046e-17
0.264,1.04223e-16
0.266,1.15184e-16
0.268,1.27298e-16
0.27,1.40686e-16
0.272,1.55482e-16
0.274,1.71834e-16
0.276,1.89906e-16
0.278,2.09879e-16
0.28,2.31952e-16
0.282,2.56347e-16
0.284,2.83307e-16
0.286,3.13103e-16
0.288,3.46032e-16
0.29,3.82424e-16
0.292,4.22644e-16
0.294,4.67094e-16
0.296,5.16219e-16
0.298,5.7051e-16
0.3,6.30511e-16
0.302,6.96823e-16
0.304,7.70109e-16
0.306,8.51102e-16
0.308,9.40613e-16
0.31,1.03954e-15
0.312,1.14887e-15
0.314,1.26969e-15
0.316,1.40323e-15
0.318,1.55081e-15
0.32,1.71391e-15
0.322,1.89416e-15
0.324,2.09337e-15
0.326,2.31353e-15
0.328,2.55685e-15
0.33,2.82576e-15
0.332,3.12294e-15
0.334,3.45139e-15
0.336,3.81437e-15
0.338,4.21553e-15
0.34,4.65889e-15
0.342,5.14887e-15
0.344,5.69038e-15
0.346,6.28884e-15
0.348,6.95024e-15
0.35,7.6812e-15
0.352,8.48904e-15
0.354,9.38184e-15
0.356,1.03685e-14
0.358,1.1459e-14
0.36,1.26642e-14
0.362,1.39961e-14
0.364,1.5468e-14
0.366,1.70948e-14
0.368,1.88927e-14
0.37,2.08797e-14
0.372,2.30756e-14
0.374,2.55025e-14
0.376,2.81846e-14
0.378,3.11488e-14
0.38,3.44248e-14
0.382,3.80453e-14
0.384,4.20465e-14
0.386,4.64686e-14
0.388,5.13557e-14
0.39,5.67569e-14
0.392,6.2726e-14
0.394,6.9323e-14
0.396,7.66137e-14
0.398,8.46713e-14
0.4,9.35762e-14
0.402,1.03418e-13
0.404,1.14294e-13
0.406,1.26315e-13
0.408,1.39599e-13
0.41,1.54281e-13
0.412,1.70507e-13
0.414,1.88439e-13
0.416,2.08258e-13
0.418,2.3016e-13
0.42,2.54367e-13
0.422,2.81119e-13
0.424,3.10684e-13
0.426,3.43359e-13
0.428,3.7947e-13
0.43,4.1938e-13
0.432,4.63486e-13
0.434,5.12231e-13
0.436,5.66103e-13
0.438,6.25641e-13
0.44,6.9144e-13
0.442,7.64159e-13
0.444,8.44527e-13
0.446,9.33346e-13
0.448,1.03151e-12
0.45,1.13999e-12
0.452,1.25989e-12
0.454,1.39239e-12
0.456,1.53883e-12
0.458,1.70067e-12
0.46,1.87953e-12
0.462,2.0772e-12
0.464,2.29566e-12
0.466,2.5371e-12
0.468,2.80393e-12
0.47,3.09882e-12
0.472,3.42472e-12
0.474,3.78491e-12
0.476,4.18297e-12
0.478,4.62289e-12
0.48,5.10909e-12
0.482,5.64642e-12
0.484,6.24026e-12
0.486,6.89655e-12
0.488,7.62187e-12
0.49,8.42346e-12
0.492,9.30937e-12
0.494,1.02884e-11
0.496,1.13705e-11
0.498,1.25663e-11
0.5,1.38879e-11
0.502,1.53486e-11
0.504,1.69628e-11
0.506,1.87468e-11
0.508,2.07184e-11
0.51,2.28973e-11
0.512,2.53055e-11
0.514,2.79669e-11
0.516,3.09082e-11
0.518,3.41588e-11
0.52,3.77513e-11
0.522,4.17217e-11
0.524,4.61096e-11
0.526,5.0959e-11
0.528,5.63184e-11
0.53,6.22414e-11
0.532,6.87874e-11
0.534,7.60219e-11
0.536,8.40172e-11
0.538,9.28533e-11
0.54,1.02619e-10
0.542,1.13411e-10
0.544,1.25339e-10
0.546,1.38521e-10
0.548,1.53089e-10
0.55,1.6919e-10
0.552,1.86984e-10
0.554,2.06649e-10
0.556,2.28382e-10
0.558,2.52402e-10
0.56,2.78947e-10
0.562,3.08284e-10
0.564,3.40706e-10
0.566,3.76539e-10
0.568,4.1614e-10
0.57,4.59906e-10
0.572,5.08274e-10
0.574,5.6173e-10
0.576,6.20808e-10
0.578,6.86098e-10
0.58,7.58256e-10
0.582,8.38003e-10
0.584,9.26136e-10
0.586,1.02354e-09
0.588,1.13119e-09
0.59,1.25015e-09
0.592,1.38163e-09
0.594,1.52694e-09
0.596,1.68753e-09
0.598,1.86501e-09
0.6,2.06115e-09
0.602,2.27793e-09
0.604,2.5175e-09
0.606,2.78227e-09
0.608,3.07488e-09
0.61,3.39827e-09
0.612,3.75567e-09
0.614,4.15065e-09
0.616,4.58718e-09
0.618,5.06962e-09
0.62,5.6028e-09
0.622,6.19205e-09
0.624,6.84327e-09
0.626,7.56298e-09
0.628,8.35839e-09
0.63,9.23745e-09
0.632,1.0209e-08
0.634,1.12826e-08
0.636,1.24693e-08
0.638,1.37807e-08
0.64,1.523e-08
0.642,1.68317e-08
0.644,1.86019e-08
0.646,2.05583e-08
0.648,2.27205e-08
0.65,2.511e-08
0.652,2.77508e-08
0.654,3.06694e-08
0.656,3.38949e-08
0.658,3.74597e-08
0.66,4.13994e-08
0.662,4.57534e-08
0.664,5.05653e-08
0.666,5.58833e-08
0.668,6.17606e-08
0.67,6.8256e-08
0.672,7.54346e-08
0.674,8.33681e-08
0.676,9.2136e-08
0.678,1.01826e-07
0.68,1.12535e-07
0.682,1.24371e-07
0.684,1.37451e-07
0.686,1.51907e-07
0.688,1.67883e-07
0.69,1.85539e-07
0.692,2.05052e-07
0.694,2.26618e-07
0.696,2.50452e-07
0.698,2.76792e-07
0.7,3.05902e-07
0.702,3.38074e-07
0.704,3.7363e-07
0.706,4.12925e-07
0.708,4.56353e-07
0.71,5.04348e-07
0.712,5.5739e-07
0.714,6.16012e-07
0.716,6.80798e-07
0.718,7.52398e-07
0.72,8.31529e-07
0.722,9.18981e-07
0.724,1.01563e-06
0.726,1.12245e-06
0.728,1.2405e-06
0.73,1.37096e-06
0.732,1.51514e-06
0.734,1.67449e-06
0.736,1.8506e-06
0.738,2.04523e-06
0.74,2.26033e-06
0.742,2.49805e-06
0.744,2.76077e-06
0.746,3.05113e-06
0.748,3.37202e-06
0.75,3.72665e-06
0.752,4.11859e-06
0.754,4.55174e-06
0.756,5.03046e-06
0.758,5.55951e-06
0.76,6.14421e-06
0.762,6.7904e-06
0.764,7.50456e-06
0.766,8.29382e-06
