ts,time,wall_time,mp_count.O,real_count.O,px.O,py.O,pz.O,KE.O,PE,E_total
0,1e-07,3.53416,11196,1.1196e+16,-1.58144e-09,-8.67949e-10,2.08387e-06,0.00747086,1.70933e-08,0.00747088
1,2e-07,3.7227,22380,2.238e+16,-3.04995e-10,-2.38077e-09,4.16487e-06,0.0149294,1.70933e-08,0.0149294
2,3e-07,3.79878,33568,3.3568e+16,-2.46492e-09,-4.00133e-09,6.2485e-06,0.0224066,1.70933e-08,0.0224066
3,4e-07,3.89224,44747,4.4747e+16,-3.22221e-09,-4.56295e-09,8.32679e-06,0.0298532,1.70933e-08,0.0298532
4,5e-07,4.00256,55923,5.5923e+16,-5.35776e-09,-4.66729e-09,1.04036e-05,0.0372903,1.70933e-08,0.0372904
5,6e-07,4.13225,67096,6.7096e+16,-7.11531e-09,-2.45607e-09,1.24843e-05,0.0447557,1.70933e-08,0.0447557
6,7e-07,4.27825,78254,7.8254e+16,-6.85053e-09,-4.44621e-09,1.45595e-05,0.0521929,1.70933e-08,0.0521929
7,8e-07,4.44349,89423,8.9423e+16,-3.08749e-09,-4.80495e-09,1.66373e-05,0.0596401,1.70933e-08,0.0596401
8,9e-07,4.62361,100583,1.00583e+17,-5.31159e-09,-5.73055e-09,1.871e-05,0.0670559,1.70933e-08,0.067056
9,1e-06,4.82162,111736,1.11736e+17,-5.11421e-09,-4.58854e-09,2.07869e-05,0.0745076,1.70933e-08,0.0745077
10,1.1e-06,5.03624,122879,1.22879e+17,-8.29355e-09,-6.24274e-09,2.2859e-05,0.0819317,1.70933e-08,0.0819317
11,1.2e-06,5.27309,134029,1.34029e+17,-9.52173e-09,-5.19075e-09,2.49321e-05,0.0893572,1.70933e-08,0.0893572
12,1.3e-06,5.55158,145171,1.45171e+17,-1.05839e-08,-1.30682e-09,2.7004e-05,0.0967818,1.70933e-08,0.0967818
13,1.4e-06,5.82139,156304,1.56304e+17,-9.79214e-09,-3.4432e-10,2.90747e-05,0.104202,1.70933e-08,0.104202
14,1.5e-06,6.10914,167428,1.67428e+17,-9.13176e-09,-1.79094e-09,3.1143e-05,0.111612,1.70933e-08,0.111612
15,1.6e-06,6.4123,178550,1.7855e+17,-8.57296e-09,-1.78641e-09,3.32106e-05,0.119017,1.70933e-08,0.119017
16,1.7e-06,6.73474,189668,1.89668e+17,-9.26038e-09,-1.78879e-09,3.52794e-05,0.126433,1.70933e-08,0.126433
17,1.8e-06,7.07342,200786,2.00786e+17,-7.10186e-09,-7.89253e-10,3.7348e-05,0.133849,1.70933e-08,0.133849
18,1.9e-06,7.46946,211913,2.11913e+17,-4.26513e-09,-2.33354e-10,3.94165e-05,0.141257,1.70933e-08,0.141257
19,2e-06,7.84477,223038,2.23038e+17,-5.42621e-10,1.39135e-09,4.14876e-05,0.148685,1.70933e-08,0.148685
20,2.1e-06,8.23591,234149,2.34149e+17,-2.39645e-09,2.13562e-09,4.3551e-05,0.156068,1.70933e-08,0.156068
21,2.2e-06,8.64514,245253,2.45253e+17,3.87057e-10,1.19113e-09,4.56134e-05,0.163449,1.70933e-08,0.163449
22,2.3e-06,9.07251,256344,2.56344e+17,1.72003e-09,3.12248e-09,4.76761e-05,0.170839,1.70933e-08,0.170839
23,2.4e-06,9.54991,267438,2.67438e+17,-1.04557e-09,4.33471e-09,4.97364e-05,0.178211,1.70933e-08,0.178211
24,2.5e-06,10.0118,278516,2.78516e+17,-1.45935e-09,3.52454e-09,5.17983e-05,0.185605,1.70933e-08,0.185605
25,2.6e-06,10.4927,289612,2.89612e+17,-1.73057e-09,4.93411e-09,5.38623e-05,0.193002,1.70933e-08,0.193002
26,2.7e-06,10.9902,300699,3.00699e+17,-3.80706e-09,7.10247e-09,5.59249e-05,0.200397,1.70933e-08,0.200397
27,2.8e-06,11.5609,311774,3.11774e+17,-2.38598e-09,6.58313e-09,5.79849e-05,0.20778,1.70933e-08,0.20778
28,2.9e-06,12.0935,322856,3.22856e+17,-1.19768e-09,6.59089e-09,6.00444e-05,0.215154,1.70933e-08,0.215154
29,3e-06,12.6524,333942,3.33942e+17,-2.69377e-09,5.45891e-09,6.21059e-05,0.222541,1.70933e-08,0.222541
30,3.1e-06,13.2209,345012,3.45012e+17,-2.2061e-09,5.37388e-09,6.41637e-05,0.229911,1.70933e-08,0.229911
31,3.2e-06,13.8421,356078,3.56078e+17,-1.16044e-09,4.44505e-09,6.62223e-05,0.23729,1.70933e-08,0.23729
32,3.3e-06,14.4445,367122,3.67122e+17,-3.23506e-09,5.73144e-09,6.82778e-05,0.244659,1.70933e-08,0.244659
33,3.4e-06,15.0726,378192,3.78192e+17,-2.99872e-09,5.27943e-09,7.03379e-05,0.252043,1.70933e-08,0.252043
34,3.5e-06,15.7386,389256,3.89256e+17,-4.7879e-09,4.66167e-09,7.23985e-05,0.259439,1.70933e-08,0.259439
