ts,time,np.O+,mom.O+,num_cols
10,9e-07,28000,3.38014e-16,0
20,1.9e-06,55999,8.31033e-16,0
30,2.9e-06,84002,1.47889e-15,0
40,3.9e-06,112006,2.28142e-15,0
50,4.9e-06,139992,3.23837e-15,0
60,5.9e-06,165906,4.25176e-15,0
70,6.9e-06,175430,4.64467e-15,0
80,7.9e-06,175414,4.64235e-15,0
90,8.9e-06,175457,4.64275e-15,0
100,9.9e-06,175491,4.64429e-15,0
110,1.09e-05,175523,4.64547e-15,0
120,1.19e-05,175463,4.64241e-15,0
130,1.29e-05,175473,4.64304e-15,0
140,1.39e-05,175422,4.64054e-15,0
150,1.49e-05,175468,4.6424e-15,0
160,1.59e-05,175491,4.64324e-15,0
170,1.69e-05,175501,4.64313e-15,0
180,1.79e-05,175603,4.64723e-15,0
190,1.89e-05,175525,4.64415e-15,0
200,1.99e-05,175450,4.64054e-15,0
210,2.09e-05,175530,4.64415e-15,0
220,2.19e-05,175474,4.64149e-15,0
230,2.29e-05,175485,4.64211e-15,0
240,2.39e-05,175475,4.64118e-15,0
250,2.49e-05,175630,4.64794e-15,0
260,2.59e-05,175531,4.64461e-15,0
270,2.69e-05,175528,4.64427e-15,0
280,2.79e-05,175416,4.63954e-15,0
290,2.89e-05,175566,4.6453e-15,0
300,2.99e-05,175592,4.64656e-15,0
310,3.09e-05,175489,4.64201e-15,0
320,3.19e-05,175550,4.64454e-15,0
330,3.29e-05,175592,4.6464e-15,0
340,3.39e-05,175553,4.64544e-15,0
350,3.49e-05,175580,4.64662e-15,0
360,3.59e-05,175491,4.64357e-15,0
370,3.69e-05,175316,4.63577e-15,0
380,3.79e-05,175418,4.63929e-15,0
390,3.89e-05,175557,4.64521e-15,0
400,3.99e-05,175483,4.64225e-15,0
