ts,time,wall_time,mp_count.O,real_count.O,px.O,py.O,pz.O,KE.O,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.O++,real_count.O++,px.O++,py.O++,pz.O++,KE.O++,PE,E_total
0,1e-07,0.00902305,2800,2.8e+08,0,0,5.20745e-14,1.82261e-10,44800,224000,0,0,4.72376e-17,1.87469e-13,5600,28000,0,0,6.60195e-18,2.92946e-14,6.87429e-08,6.89254e-08
1,2e-07,0.0716373,5600,5.6e+08,0,0,1.04149e-13,3.64522e-10,89600,448000,-2.60575e-23,7.89177e-23,1.01322e-16,4.35013e-13,11200,56000,-9.05949e-24,2.08033e-23,1.4903e-17,7.64992e-14,6.74584e-08,6.78235e-08
2,3e-07,0.0822105,8400,8.4e+08,0,0,1.56224e-13,5.46782e-10,134400,672000,-9.10156e-23,7.75565e-23,1.60329e-16,7.3171e-13,16800,84000,-3.73047e-23,1.96787e-23,2.44108e-17,1.39297e-13,6.67623e-08,6.73099e-08
3,4e-07,0.0923656,11200,1.12e+09,0,0,2.08298e-13,7.29043e-10,179200,896000,-1.46288e-22,-3.12306e-23,2.233e-16,1.0717e-12,22400,112000,-6.00543e-23,-2.06007e-23,3.48766e-17,2.16212e-13,6.6308e-08,6.70383e-08
4,5e-07,0.103772,14000,1.4e+09,0,0,2.60373e-13,9.11304e-10,223999,1.12e+06,-2.73457e-22,-2.95962e-22,2.89596e-16,1.45073e-12,28000,140000,-1.03831e-22,-1.18528e-22,4.61375e-17,3.06065e-13,6.59839e-08,6.6897e-08
5,6e-07,0.120951,16800,1.68e+09,0,0,3.12447e-13,1.09356e-09,268797,1.34398e+06,-4.40001e-22,-7.45336e-22,3.5879e-16,1.86586e-12,33599,167995,-1.65953e-22,-2.83656e-22,5.80865e-17,4.08055e-13,6.57401e-08,6.68359e-08
6,7e-07,0.134865,19600,1.96e+09,0,0,3.64522e-13,1.27583e-09,313596,1.56798e+06,-5.85761e-22,-1.31063e-21,4.30609e-16,2.31539e-12,39199,195995,-2.39267e-22,-4.95144e-22,7.06665e-17,5.21887e-13,6.55133e-08,6.6792e-08
7,8e-07,0.150088,22400,2.24e+09,0,0,4.16596e-13,1.45809e-09,358395,1.79198e+06,-6.22223e-22,-1.92194e-21,5.05216e-16,2.8011e-12,44798,223990,-3.09116e-22,-7.27329e-22,8.38646e-17,6.47133e-13,6.52941e-08,6.67556e-08
8,9e-07,0.166791,25200,2.52e+09,0,0,4.68671e-13,1.64035e-09,403193,2.01596e+06,-6.02147e-22,-2.43804e-21,5.82807e-16,3.32269e-12,50397,251985,-3.9672e-22,-9.4063e-22,9.76164e-17,7.81127e-13,6.5196e-08,6.68405e-08
9,1e-06,0.184407,28000,2.8e+09,0,0,5.20745e-13,1.82261e-09,447989,2.23994e+06,-3.7641e-22,-2.60387e-21,6.62827e-16,3.87357e-12,55997,279985,-4.64619e-22,-1.17472e-21,1.11827e-16,9.22396e-13,6.51579e-08,6.69853e-08
